title,score,revenue,year,released
Diary of a Wimpy Kid,5.9,75700498,2010,2010-03-19
Diary of a Wimpy Kid: Dog Days,6,77112176,2012,2012-08-03
Diary of a Wimpy Kid: Rodrick Rules,6.3,72417394,2011,2011-03-25
Diary of the Dead,5.4,5364858,2007,2008-02-22
Dick,5.7,27500000,1999,1999-08-04
Dick Tracy,5.9,103738726,1990,1990-06-15
Did You Hear About the Morgans?,5.1,85280250,2009,2009-12-18
Die Another Day,5.8,431971116,2002,2002-11-22
Die Hard,7.5,140767956,1988,1988-07-20
Die Hard 2,6.6,240031094,1990,1990-07-04
Dinosaur,6.2,354248063,2000,2000-05-19
Dirty Grandpa,5.7,94073028,2016,2016-01-22
Disaster Movie,3,14109284,2008,2008-08-29
Disclosure,5.9,214015089,1994,1994-12-09
Disturbia,6.6,117760134,2007,2007-04-13
Divergent,6.9,288747895,2014,2014-03-21
Django Unchained,7.8,425368238,2012,2012-12-25
Do the Right Thing,7.6,37295445,1989,1989-07-21
DOA: Dead or Alive,5,480314,2006,2007-06-15
Doctor Dolittle,5.4,294456605,1998,1998-06-26
DodgeBall: A True Underdog Story,6.2,167722310,2004,2004-06-18
Dogma,6.8,30652890,1999,1999-11-12
Dolphin Tale,6.7,95404397,2011,2011-09-23
Domestic Disturbance,5.4,54249294,2001,2001-11-02
Domino,6,22944502,2005,2005-10-14
Don Juan DeMarco,6.2,22200000,1994,1995-04-07
Don't Be Afraid of the Dark,5.4,36993168,2010,2011-08-26
Don't Say a Word,6,100020092,2001,2001-09-28
Donnie Brasco,7.4,41954997,1997,1997-02-28
Donnie Darko,7.7,1270522,2001,2001-10-26
Doom,5,55987321,2005,2005-10-21
Doomsday,5.8,22211426,2008,2008-03-14
Dope,7.2,17986781,2015,2015-06-19
Double Impact,5.3,30102717,1991,1991-08-09
Double Jeopardy,6.2,177841558,1999,1999-09-24
Doubt,7,50907234,2008,2008-12-25
Dr. Dolittle 2,4.9,176104344,2001,2001-06-22
Dracula 2000,4.6,33000337,2000,2000-12-22
Dracula Untold,6.2,215529201,2014,2014-10-10
Draft Day,6.5,28831145,2014,2014-04-11
Drag Me to Hell,6.2,90810892,2009,2009-05-29
Dragon Wars: D-War,4,53587404,2007,2007-09-14
Dragonfly,6.1,52322400,2002,2002-02-22
DragonHeart,6.4,115267375,1996,1996-05-31
Dream House,5.8,38502340,2011,2011-09-30
Dreamcatcher,5.3,75715436,2003,2003-03-21
Dreamgirls,6.6,154937680,2006,2006-12-25
Dredd,6.6,41037742,2012,2012-09-21
Drive,7.4,78054825,2011,2011-09-16
Drive Angry,5.3,28931401,2011,2011-02-25
Drive Me Crazy,5.8,22593409,1999,1999-10-01
Driven,4.5,54744738,2001,2001-04-27
Driving Miss Daisy,7,145793296,1989,1990-01-26
Drop Dead Gorgeous,6.4,10571408,1999,1999-07-23
Drowning Mona,5.4,15427192,2000,2000-03-03
Drumline,6.2,57588485,2002,2002-12-13
Due Date,6.2,211780824,2010,2010-11-05
