title	genre	score	revenue	released
Payback	Action	6.7	161626121	1999-02-05
Paycheck	Action	5.9	96269812	2003-12-25
Pearl Harbor	Action	6.6	449220945	2001-05-25
Pete's Dragon	Action	6.2	143695338	2016-08-12
Phantasm II	Action	6.3	7282851	1988-07-08
Pineapple Express	Action	6.6	101624843	2008-08-06
Pirates of the Caribbean: At World's End	Action	6.9	961000000	2007-05-25
Pirates of the Caribbean: Dead Man's Chest	Action	7	1065659812	2006-07-07
Pirates of the Caribbean: On Stranger Tides	Action	6.4	1045713802	2011-05-20
Pirates of the Caribbean: The Curse of the Black Pearl	Action	7.5	655011224	2003-07-09
Pixels	Action	5.6	243637091	2015-07-24
Planet of the Apes	Action	5.6	362211740	2001-07-27
Poseidon	Action	5.5	181674817	2006-05-12
Predator	Action	7.3	98235548	1987-06-12
Predator 2	Action	5.9	57120318	1990-11-21
Predators	Action	6	126248813	2010-07-09
Premium Rush	Action	6.2	31083599	2012-08-24
Pride and Prejudice and Zombies	Action	5.5	16374328	2016-02-05
Priest	Action	5.4	78309131	2011-05-13
Prince of Persia: The Sands of Time	Action	6.2	335154643	2010-05-28
Punisher: War Zone	Action	5.6	10089373	2008-12-05
Quantum of Solace	Action	6.1	586090727	2008-11-14
R.I.P.D.	Action	5.4	61648500	2013-07-19
Race to Witch Mountain	Action	5.5	106303988	2009-03-13
Rambo III	Action	5.7	189015611	1988-05-25
Ransom	Action	6.4	309492681	1996-11-08
Rapa Nui	Action	6.2	305070	1994-09-09
Real Steel	Action	6.6	299268508	2011-10-07
RED	Action	6.6	71664962	2010-10-15
Red Dawn	Action	6.4	38376497	2012-11-21
Red Planet	Action	5.4	33463969	2000-11-10
Red State	Action	5.9	1104682	2011-09-30
Red Tails	Action	5.9	50365377	2012-01-20
Reign of Fire	Action	6	43061982	2002-07-12
Reindeer Games	Action	5.4	32168970	2000-02-25
Repo Men	Action	6.2	18409891	2010-03-19
Resident Evil	Action	6.4	102984862	2002-03-15
Resident Evil: Afterlife	Action	5.8	300228084	2010-09-10
Resident Evil: Apocalypse	Action	6.1	129394835	2004-09-10
