year,star,director,writer
2011,Matt Damon,Steven Soderbergh,Scott Z. Burns
2012,Mark Wahlberg,Baltasar Kormákur,Aaron Guzikowski
1993,John Candy,Jon Turteltaub,Lynn Siefert
1997,Sylvester Stallone,James Mangold,James Mangold
2010,Bruce Willis,Kevin Smith,Robb Cullen
2009,Dakota Fanning,Henry Selick,Henry Selick
2005,Johnny Depp,Tim Burton,Tim Burton
2010,Garrett Hedlund,Shana Feste,Shana Feste
2009,Vince Vaughn,Peter Billingsley,Jon Favreau
1996,Denzel Washington,Edward Zwick,Patrick Sheane Duncan
2011,Alex Kendrick,Alex Kendrick,Alex Kendrick
2000,Piper Perabo,David McNally,Gina Wendkos
2003,Jet Li,Andrzej Bartkowiak,John O'Brien
2006,Jason Statham,Mark Neveldine,Mark Neveldine
2009,Jason Statham,Mark Neveldine,Mark Neveldine
2004,Don Cheadle,Paul Haggis,Paul Haggis
2009,Jeff Bridges,Scott Cooper,Scott Cooper
2011,Steve Carell,Glenn Ficarra,Dan Fogelman
2001,Kirsten Dunst,John Stockwell,Phil Hay
2015,Michael B. Jordan,Ryan Coogler,Ryan Coogler
1987,George Kennedy,Michael Gornick,Stephen King
2016,Kevin Costner,Ariel Vromen,Douglas Cook
1995,Gene Hackman,Tony Scott,Michael Schiffer
1986,Paul Hogan,Peter Faiman,Ken Shadie
2002,Britney Spears,Tamra Davis,Shonda Rhimes
2000,Yun-Fat Chow,Ang Lee,Du Lu Wang
1999,Sarah Michelle Gellar,Roger Kumble,Choderlos de Laclos
2005,Julian Morris,Jeff Wadlow,Jeff Wadlow
2006,Will Ferrell,Matthew O'Callaghan,Ken Kaufman
1995,Geena Davis,Renny Harlin,Michael Frost Beckner
2003,Eddie Murphy,Steve Carr,Geoff Rodkey
2015,Will Ferrell,Sean Anders,Brian Burns
2013,Matthew McConaughey,Jean-Marc Vallée,Craig Borten
1990,Kevin Costner,Kevin Costner,Michael Blake
1988,Glenn Close,Stephen Frears,Christopher Hampton
2015,Al Pacino,Dan Fogelman,Dan Fogelman
1997,Pierce Brosnan,Roger Donaldson,Leslie Bohem
2002,Kurt Russell,Ron Shelton,James Ellroy
2012,Johnny Depp,Tim Burton,Seth Grahame-Smith
2005,Jennifer Connelly,Walter Salles,Kôji Suzuki
2006,Alyson Hannigan,Aaron Seltzer,Jason Friedberg
2010,Steve Carell,Shawn Levy,Josh Klausner
2004,Sarah Polley,Zack Snyder,George A. Romero
2014,Gary Oldman,Matt Reeves,Mark Bomback
1996,Sylvester Stallone,Rob Cohen,Leslie Bohem
1990,Tom Cruise,Tony Scott,Robert Towne
1993,Jason London,Richard Linklater,Richard Linklater
1995,Susan Sarandon,Tim Robbins,Helen Prejean
1989,Robin Williams,Peter Weir,Tom Schulman
1993,Michael Biehn,Christopher Coppola,Christopher Coppola
2012,Eric Bana,Stefan Ruzowitzky,Zach Dean
2016,Ryan Reynolds,Tim Miller,Rhett Reese
2010,Channing Tatum,Lasse Hallström,Jamie Linden
1992,Meryl Streep,Robert Zemeckis,Martin Donovan
2008,Jason Statham,Paul W.S. Anderson,Paul W.S. Anderson
2007,Kevin Bacon,James Wan,Ian Mackenzie Jeffers
1997,Woody Allen,Woody Allen,Woody Allen
1999,Thomas Jane,Renny Harlin,Duncan Kennedy
1998,Robert Duvall,Mimi Leder,Bruce Joel Rubin
1998,Treat Williams,Stephen Sommers,Stephen Sommers
2009,Woody Harrelson,Peter Stebbings,Peter Stebbings
2013,Vince Vaughn,Ken Scott,Ken Scott
2005,Clive Owen,Mikael Håfström,Stuart Beattie
1995,Antonio Banderas,Robert Rodriguez,Robert Rodriguez
2010,Steve Carell,Pierre Coffin,Cinco Paul
2013,Steve Carell,Pierre Coffin,Cinco Paul
1999,Edward Furlong,Adam Rifkin,Carl V. Dupré
2005,Rob Schneider,Mike Bigelow,Harris Goldberg
1999,Rob Schneider,Mike Mitchell,Harris Goldberg
2010,Chris Messina,John Erick Dowdle,Brian Nelson
2010,Zachary Gordon,Thor Freudenthal,Jackie Filgo
