year,star,director,writer
1997,Kevin Spacey,Curtis Hanson,James Ellroy
1987,Lou Diamond Phillips,Luis Valdez,Luis Valdez
2013,Kate Winslet,Jason Reitman,Jason Reitman
2004,Joaquin Phoenix,Jay Russell,Lewis Colick
2006,Paul Giamatti,M. Night Shyamalan,M. Night Shyamalan
1999,Bridget Fonda,Steve Miner,David E. Kelley
2008,Samuel L. Jackson,Neil LaBute,David Loughery
2009,Will Ferrell,Brad Silberling,Chris Henchy
2003,Angelina Jolie,Jan de Bont,Dean Georgaris
2001,Angelina Jolie,Simon West,Sara B. Cooper
2011,Tom Hanks,Tom Hanks,Tom Hanks
2007,Ryan Gosling,Craig Gillespie,Nancy Oliver
1993,Arnold Schwarzenegger,John McTiernan,Zak Penn
2013,Robert De Niro,Jon Turteltaub,Dan Fogelman
2003,Wes Ramsey,C. Jay Cox,C. Jay Cox
2009,Gerard Butler,F. Gary Gray,Kurt Wimmer
2010,Amy Adams,Anand Tucker,Deborah Kaplan
2008,George Clooney,George Clooney,Duncan Brantley
2014,Nicolas Cage,Vic Armstrong,Jerry B. Jenkins
2001,Reese Witherspoon,Robert Luketic,Amanda Brown
2003,Reese Witherspoon,Charles Herman-Wurmfeld,Amanda Brown
2015,Tom Hardy,Brian Helgeland,Brian Helgeland
2010,Jim Sturgess,Zack Snyder,John Orloff
1994,Brad Pitt,Edward Zwick,Susan Shilliday
2010,Paul Bettany,Scott Stewart,Peter Schink
2012,Hugh Jackman,Tom Hooper,William Nicholson
2010,Kodi Smit-McPhee,Matt Reeves,Matt Reeves
2014,Jake Johnson,Luke Greenfield,Luke Greenfield
1992,Mel Gibson,Richard Donner,Jeffrey Boam
1998,Mel Gibson,Richard Donner,Shane Black
2006,Ken Watanabe,Clint Eastwood,Iris Yamashita
1997,Jim Carrey,Tom Shadyac,Paul Guay
1989,Timothy Dalton,John Glen,Michael G. Wilson
2007,Mandy Moore,Ken Kwapis,Kim Barker
2012,Suraj Sharma,Ang Lee,Yann Martel
2016,Teresa Palmer,David F. Sandberg,Eric Heisserer
2011,Felicity Jones,Drake Doremus,Drake Doremus
2002,Daveigh Chase,Dean DeBlois,Chris Sanders
2012,Daniel Day-Lewis,Steven Spielberg,Tony Kushner
2007,Tom Cruise,Robert Redford,Matthew Michael Carnahan
2004,Brittany Murphy,Nick Hurran,Melissa Carter
2006,Kate Winslet,Todd Field,Todd Field
2010,Ben Stiller,Paul Weitz,John Hamburg
2006,Steve Carell,Jonathan Dayton,Michael Arndt
1986,Rick Moranis,Frank Oz,Howard Ashman
2007,Bruce Willis,Len Wiseman,Mark Bomback
2012,Guy Pearce,James Mather,Stephen St. Leger
1997,Jeremy Irons,Adrian Lyne,Vladimir Nabokov
2016,Gerard Butler,Babak Najafi,Creighton Rothenberger
1996,Chris Cooper,John Sayles,John Sayles
2013,Mark Wahlberg,Peter Berg,Peter Berg
2003,Brendan Fraser,Joe Dante,Larry Doyle
2012,Joseph Gordon-Levitt,Rian Johnson,Rian Johnson
2005,Nicolas Cage,Andrew Niccol,Andrew Niccol
2005,Heath Ledger,Catherine Hardwicke,Stacy Peralta
1998,Gary Oldman,Stephen Hopkins,Irwin Allen
2003,Bill Murray,Sofia Coppola,Sofia Coppola
2000,Sanaa Lathan,Gina Prince-Bythewood,Gina Prince-Bythewood
2010,Jake Gyllenhaal,Edward Zwick,Charles Randolph
2003,Hugh Grant,Richard Curtis,Richard Curtis
2009,Jennifer Aniston,Brandon Camp,Brandon Camp
2007,Javier Bardem,Mike Newell,Ronald Harwood
2015,Steve Martin,Jessie Nelson,Steven Rogers
2006,Josh Hartnett,Paul McGuigan,Jason Smilovic
2014,Scarlett Johansson,Luc Besson,Luc Besson
2010,Will Forte,Jorma Taccone,Will Forte
2010,Danny Trejo,Ethan Maniquis,Robert Rodriguez
2013,Danny Trejo,Robert Rodriguez,Kyle Ward
2011,Gerard Butler,Marc Forster,Jason Keller
1997,John Travolta,Costa-Gavras,Tom Matthews
2015,Tom Hardy,George Miller,George Miller
2005,Chris Rock,Eric Darnell,Mark Burton
2012,Ben Stiller,Eric Darnell,Eric Darnell
2008,Ben Stiller,Eric Darnell,Etan Cohen
2008,Patrick Dempsey,Paul Weiland,Adam Sztykiel
2006,Tyler Perry,Tyler Perry,Tyler Perry
2015,Arnold Schwarzenegger,Henry Hobson,John Scott 3
2012,Channing Tatum,Steven Soderbergh,Reid Carolin
2015,Channing Tatum,Gregory Jacobs,Reid Carolin
1999,Tom Cruise,Paul Thomas Anderson,Paul Thomas Anderson
2002,Jennifer Lopez,Wayne Wang,John Hughes
1989,Tom Berenger,David S. Ward,David S. Ward
1992,Denzel Washington,Spike Lee,Alex Haley
2014,Angelina Jolie,Robert Stromberg,Linda Woolverton
1995,Shannen Doherty,Kevin Smith,Kevin Smith
2008,Meryl Streep,Phyllida Lloyd,Catherine Johnson
2013,Henry Cavill,Zack Snyder,David S. Goyer
2006,Robin Williams,Barry Levinson,Barry Levinson
2012,Sam Worthington,Asger Leth,Pablo F. Fenjves
2004,Denzel Washington,Tony Scott,A.J. Quinnell
1999,Jim Carrey,Milos Forman,Scott Alexander
2013,Idris Elba,Justin Chadwick,William Nicholson
2011,Anna Paquin,Kenneth Lonergan,Kenneth Lonergan
2011,Zachary Quinto,J.C. Chandor,J.C. Chandor
2006,Kirsten Dunst,Sofia Coppola,Sofia Coppola
2008,Owen Wilson,David Frankel,Scott Frank
1996,Jack Nicholson,Tim Burton,Len Brown
1996,Julia Roberts,Stephen Frears,Valerie Martin
2003,Russell Crowe,Peter Weir,Patrick O'Brian
2005,Scarlett Johansson,Woody Allen,Woody Allen
2002,John Cusack,Menno Meyjes,Menno Meyjes
2015,Thomas Haden Church,Boaz Yakin,Boaz Yakin
2008,Mark Wahlberg,John Moore,Beau Thorne
1996,Jean-Claude Van Damme,Ringo Lam,Larry Ferguson
2002,Angela Bettis,Lucky McKee,Lucky McKee
2015,Dylan O'Brien,Wes Ball,T.S. Nowlin
2008,Zac Efron,Richard Linklater,Robert Kaplow
2016,Emilia Clarke,Thea Sharrock,Jojo Moyes
2000,Jim Carrey,Bobby Farrelly,Peter Farrelly
2004,Rory Culkin,Jacob Estes,Jacob Estes
2004,Lindsay Lohan,Mark Waters,Rosalind Wiseman
2008,Eddie Murphy,Brian Robbins,Rob Greenberg
1998,Brad Pitt,Martin Brest,Ron Osborn
2004,Ben Stiller,Jay Roach,Greg Glienna
2000,Ben Stiller,Jay Roach,Greg Glienna
2008,Sean Maguire,Jason Friedberg,Jason Friedberg
2010,Will Ferrell,Tom McGrath,Alan Schoolcraft
2000,Guy Pearce,Christopher Nolan,Christopher Nolan
2005,Ziyi Zhang,Rob Marshall,Robin Swicord
1992,Chevy Chase,John Carpenter,H.F. Saint
1997,Tommy Lee Jones,Barry Sonnenfeld,Lowell Cunningham
2012,Will Smith,Barry Sonnenfeld,Etan Cohen
2002,Tommy Lee Jones,Barry Sonnenfeld,Lowell Cunningham
2000,Cuba Gooding Jr.,George Tillman Jr.,Scott Marshall Smith
1993,Tyrin Turner,Albert Hughes,Allen Hughes
1999,Kevin Costner,Luis Mandoki,Nicholas Sparks
2007,George Clooney,Tony Gilroy,Tony Gilroy
1996,Liam Neeson,Neil Jordan,Neil Jordan
2011,Owen Wilson,Woody Allen,Woody Allen
1997,John Cusack,Clint Eastwood,John Berendt
1988,Robert De Niro,Martin Brest,George Gallo
2016,Michael Shannon,Jeff Nichols,Jeff Nichols
2008,Sean Penn,Gus Van Sant,Dustin Lance Black
2014,Jon Hamm,Craig Gillespie,Tom McCarthy
2004,Hilary Swank,Clint Eastwood,Paul Haggis
2015,Sandra Bullock,Kyle Balda,Brian Lynch
2002,Tom Cruise,Steven Spielberg,Philip K. Dick
2004,Kurt Russell,Gavin O'Connor,Eric Guggenheim
2008,Derek Luke,Spike Lee,James McBride
2016,Jennifer Garner,Patricia Riggen,Christy Beam
2012,Lily Collins,Tarsem Singh,Marc Klein
2005,Stephanie Leonidas,Dave McKean,Neil Gaiman
2008,Kiefer Sutherland,Alexandre Aja,Alexandre Aja
2000,Sandra Bullock,Donald Petrie,Marc Lawrence
2006,Renée Zellweger,Chris Noonan,Richard Maltby Jr.
2000,Tim Robbins,Brian De Palma,Lowell Cannon
1996,Tom Cruise,Brian De Palma,Bruce Geller
2011,Tom Cruise,Brad Bird,Bruce Geller
2000,Tom Cruise,John Woo,Bruce Geller
2006,Tom Cruise,J.J. Abrams,Alex Kurtzman
1990,Denzel Washington,Spike Lee,Spike Lee
2014,Sarah Drew,Andrew Erwin,Jon Erwin
2002,Javier Bardem,Fernando León de Aranoa,Fernando León de Aranoa
2016,George Clooney,Jodie Foster,Jamie Linden
1995,Wesley Snipes,Joseph Ruben,Doug Richardson
2011,Brad Pitt,Bennett Miller,Steven Zaillian
2007,Tadanobu Asano,Sergei Bodrov,Arif Aliev
2001,Brendan Fraser,Henry Selick,Kaja Blackley
2006,Mitchel Musso,Gil Kenan,Dan Harmon
2001,Billy Bob Thornton,Marc Forster,Milo Addica
2013,Billy Crystal,Dan Scanlon,Dan Scanlon
2001,Billy Crystal,Pete Docter,Pete Docter
2009,Sam Rockwell,Duncan Jones,Duncan Jones
2012,Jared Gilman,Wes Anderson,Wes Anderson
2010,Rachel McAdams,Roger Michell,Aline Brosh McKenna
1995,Christopher Lambert,Paul W.S. Anderson,Ed Boon
1997,Robin Shou,John R. Leonetti,Ed Boon
2015,Johnny Depp,David Koepp,Eric Aronson
2013,Emma Stone,Elizabeth Banks,Rocky Russo
2005,Brad Pitt,Doug Liman,Simon Kinberg
2007,Rowan Atkinson,Steve Bendelack,Rowan Atkinson
2002,Adam Sandler,Steven Brill,Clarence Budington Kelland
2014,Ty Burrell,Rob Minkoff,Jay Ward
2011,Jim Carrey,Mark Waters,Sean Anders
1993,Robin Williams,Chris Columbus,Anne Fine
1996,Shirley MacLaine,Richard Benjamin,Cornell Woolrich
2012,Matthew McConaughey,Jeff Nichols,Jeff Nichols
1998,Ming-Na Wen,Tony Bancroft,Robert D. San Souci
2001,Naomi Watts,David Lynch,David Lynch
2005,Eric Bana,Steven Spielberg,Tony Kushner
1999,Dave Goelz,Tim Hill,Jerry Juhl
2014,Ricky Gervais,James Bobin,James Bobin
2002,Sandra Bullock,Barbet Schroeder,Tony Gayton
2007,Hugh Grant,Marc Lawrence,Marc Lawrence
2005,Diane Lane,Gary David Goldberg,Claire Cook
2008,Kate Hudson,Howard Deutch,Jordan Cahan
1997,Julia Roberts,P.J. Hogan,Ronald Bass
2016,Nia Vardalos,Kirk Jones,Nia Vardalos
2009,Jensen Ackles,Patrick Lussier,Todd Farmer
1992,Joe Pesci,Jonathan Lynn,Dale Launer
1999,Christopher Lloyd,Donald Petrie,John L. Greene
2009,Nia Vardalos,Donald Petrie,Mike Reiss
2010,Shah Rukh Khan,Karan Johar,Shibani Bathija
2009,Cameron Diaz,Nick Cassavetes,Jeremy Leven
2010,Max Thieriot,Wes Craven,Wes Craven
1988,Dan Aykroyd,Richard Benjamin,Jerico
1999,Ben Stiller,Kinka Usher,Neil Cuthbert
1999,Russell Crowe,Jay Roach,David E. Kelley
2003,Sean Penn,Clint Eastwood,Brian Helgeland
2006,Jack Black,Jared Hess,Jared Hess
2005,Emma Thompson,Kirk Jones,Emma Thompson
2004,Jon Heder,Jared Hess,Jared Hess
2002,Ray Liotta,Joe Carnahan,Joe Carnahan
2004,Nicolas Cage,Jon Turteltaub,Jim Kouf
2013,Bruce Dern,Alexander Payne,Bob Nelson
2014,Aaron Paul,Scott Waugh,George Gatins
2014,Seth Rogen,Nicholas Stoller,Andrew Jay Cohen
2016,Seth Rogen,Nicholas Stoller,Andrew Jay Cohen
2016,Emma Roberts,Henry Joost,Jeanne Ryan
2008,Sean Faris,Jeff Wadlow,Chris Hauty
2010,Keira Knightley,Mark Romanek,Kazuo Ishiguro
2009,Renée Zellweger,Jonas Elmer,Ken Rance
1994,Heather Langenkamp,Wes Craven,Wes Craven
2011,Sarah Jessica Parker,Garry Marshall,Katherine Fugate
2000,Ice Cube,Steve Carr,Ice Cube
2008,Michael Cera,Peter Sollett,Lorene Scafaria
2006,Ben Stiller,Shawn Levy,Robert Ben Garant
2009,Ben Stiller,Shawn Levy,Robert Ben Garant
2014,Ben Stiller,Shawn Levy,David Guion
1990,Tony Todd,Tom Savini,John A. Russo
2004,Konstantin Khabenskiy,Timur Bekmambetov,Timur Bekmambetov
2014,Jake Gyllenhaal,Dan Gilroy,Dan Gilroy
2008,Jodie Foster,Jennifer Flackett,Joseph Kwong
2009,Daniel Day-Lewis,Rob Marshall,Michael Tolkin
2009,Rick Yune,James McTeigue,Matthew Sand
1995,Anthony Hopkins,Oliver Stone,Stephen J. Rivele
2007,Tommy Lee Jones,Ethan Coen,Joel Coen
1994,Ray Liotta,Martin Campbell,Richard Herley
2015,Lake Bell,John Erick Dowdle,John Erick Dowdle
2014,Taraji P. Henson,Sam Miller,Aimee Lagos
2007,Catherine Zeta-Jones,Scott Hicks,Carol Fuchs
2011,Natalie Portman,Ivan Reitman,Elizabeth Meriwether
2014,Russell Crowe,Darren Aronofsky,Darren Aronofsky
2014,Liam Neeson,Jaume Collet-Serra,John W. Richardson
2005,Charlize Theron,Niki Caro,Michael Seitzman
2001,Chyler Leigh,Joel Gallen,Mike Bender
2006,Cate Blanchett,Richard Eyre,Patrick Marber
1999,Hugh Grant,Roger Michell,Richard Curtis
2013,Jesse Eisenberg,Louis Leterrier,Ed Solomon
2000,Eddie Murphy,Peter Segal,Jerry Lewis
2000,George Clooney,Joel Coen,Homer
2013,Tom Cruise,Joseph Kosinski,Karl Gajdusek
2001,George Clooney,Steven Soderbergh,George Clayton Johnson
2007,George Clooney,Steven Soderbergh,Brian Koppelman
2004,George Clooney,Steven Soderbergh,George Nolfi
2013,Karen Gillan,Mike Flanagan,Mike Flanagan
2009,Robin Williams,Walt Becker,David Diamond
2003,Luke Wilson,Todd Phillips,Court Crandall
2013,Gerard Butler,Antoine Fuqua,Creighton Rothenberger
1994,Steven Seagal,Steven Seagal,Ed Horowitz
2012,Sam Riley,Walter Salles,Jack Kerouac
2003,Antonio Banderas,Robert Rodriguez,Robert Rodriguez
2009,Colin Farrell,Neil Jordan,Neil Jordan
2011,Anne Hathaway,Lone Scherfig,David Nicholls
2012,Katherine Heigl,Julie Anne Robinson,Stacy Sherman
2002,Robin Williams,Mark Romanek,Mark Romanek
2006,Tiffany Dupont,Michael O. Sajbel,Stephan Blinn
2003,Kevin Costner,Kevin Costner,Lauran Paine
2006,Ashton Kutcher,Roger Allers,Steve Bencich
2003,Blanchard Ryan,Chris Kentis,Chris Kentis
2001,Antonio Banderas,Michael Cristofer,Cornell Woolrich
2001,Laurence Fishburne,Bobby Farrelly,Marc Hyman
2014,Olivia Cooke,Stiles White,Juliet Snowden
2015,Sandra Bullock,David Gordon Green,Peter Straughan
2011,Paul Rudd,Jesse Peretz,Jesse Peretz
2001,Flex Alexander,Brendan Malloy,Jon Zack
1998,George Clooney,Steven Soderbergh,Elmore Leonard
2013,Christian Bale,Scott Cooper,Brad Ingelsby
2003,Denzel Washington,Carl Franklin,David Collard
1995,Dustin Hoffman,Wolfgang Petersen,Laurence Dworet
1999,Shawn Hatosy,Michael Corrente,Peter Farrelly
2006,Bruce Willis,Tim Johnson,Len Blum
2007,Hilary Swank,Richard LaGravenese,Richard LaGravenese
2013,Idris Elba,Guillermo del Toro,Travis Beacham
2014,Hugh Bonneville,Paul King,Paul King
2013,Mark Wahlberg,Michael Bay,Christopher Markus
2015,Levi Miller,Joe Wright,Jason Fuchs
2009,Dennis Quaid,Christian Alvart,Travis Milloy
2002,Jodie Foster,David Fincher,David Koepp
2015,Nat Wolff,Jake Schreier,Scott Neustadter
2007,Katie Featherston,Oren Peli,Oren Peli
2010,Katie Featherston,Tod Williams,Michael R. Perry
2011,Chloe Csengery,Henry Joost,Christopher Landon
2012,Stephen Dunham,Henry Joost,Christopher Landon
2012,Kodi Smit-McPhee,Chris Butler,Chris Butler
2006,Juliette Binoche,Olivier Assayas,Tristan Carné
2013,Jason Statham,Taylor Hackford,John J. McLaughlin
2003,Macaulay Culkin,Fenton Bailey,Fenton Bailey
1998,Robin Williams,Tom Shadyac,Patch Adams
1992,Harrison Ford,Phillip Noyce,Tom Clancy
2011,Simon Pegg,Greg Mottola,Simon Pegg
2009,Kevin James,Steve Carr,Kevin James
2015,Kevin James,Andy Fickman,Kevin James
2000,Kevin Spacey,Mimi Leder,Catherine Ryan Hyde
1999,Mel Gibson,Brian Helgeland,Donald E. Westlake
2003,Ben Affleck,John Woo,Philip K. Dick
1994,Jeremy Piven,Hart Bochner,Adam Leff
2001,Ben Affleck,Michael Bay,Randall Wallace
1986,Kathleen Turner,Francis Ford Coppola,Jerry Leichtling
2014,Tom McGrath,Eric Darnell,Michael Colton
2010,Logan Lerman,Chris Columbus,Craig Titley
2013,Logan Lerman,Thor Freudenthal,Marc Guggenheim
1989,Dale Midkiff,Mary Lambert,Stephen King
2016,Bryce Dallas Howard,David Lowery,David Lowery
1988,James Le Gros,Don Coscarelli,Don Coscarelli
1996,John Travolta,Jon Turteltaub,Gerald Di Pego
1993,Tom Hanks,Jonathan Demme,Ron Nyswaner
2013,Judi Dench,Stephen Frears,Steve Coogan
2002,Colin Farrell,Joel Schumacher,Larry Cohen
1998,Sean Gullette,Darren Aronofsky,Darren Aronofsky
2008,Seth Rogen,David Gordon Green,Seth Rogen
2010,Elisabeth Shue,Alexandre Aja,Pete Goldfinger
2007,Johnny Depp,Gore Verbinski,Ted Elliott
2006,Johnny Depp,Gore Verbinski,Ted Elliott
2011,Johnny Depp,Rob Marshall,Ted Elliott
2003,Johnny Depp,Gore Verbinski,Ted Elliott
2000,Radha Mitchell,David Twohy,Jim Wheat
2012,Anna Kendrick,Jason Moore,Kay Cannon
2015,Anna Kendrick,Elizabeth Banks,Kay Cannon
2015,Adam Sandler,Chris Columbus,Tim Herlihy
2001,Mark Wahlberg,Tim Burton,Pierre Boulle
1986,Charlie Sheen,Oliver Stone,Oliver Stone
1999,Woody Harrelson,Ron Shelton,Ron Shelton
1995,Mel Gibson,Mike Gabriel,Carl Binder
1993,Janet Jackson,John Singleton,John Singleton
2015,Sam Rockwell,Gil Kenan,David Lindsay-Abaire
1988,Heather O'Rourke,Gary Sherman,Gary Sherman
2008,Cate Blanchett,Hayao Miyazaki,Hayao Miyazaki
2006,Richard Dreyfuss,Wolfgang Petersen,Mark Protosevich
1998,Sandra Bullock,Griffin Dunne,Alice Hoffman
2009,Gabourey Sidibe,Lee Daniels,Geoffrey Fletcher
1987,Arnold Schwarzenegger,John McTiernan,Jim Thomas
1990,Danny Glover,Stephen Hopkins,Jim Thomas
2010,Adrien Brody,Nimród Antal,Alex Litvak
1997,Jared Leto,Steve James,Steve James
2012,Joseph Gordon-Levitt,David Koepp,David Koepp
2007,Sandra Bullock,Mennan Yapo,Bill Kelly
1990,Richard Gere,Garry Marshall,J.F. Lawton
2005,Keira Knightley,Joe Wright,Jane Austen
2008,Edward Norton,Gavin O'Connor,Joe Carnahan
2016,Lily James,Burr Steers,Burr Steers
2011,Paul Bettany,Scott Stewart,Cory Goodman
2004,Shane Carruth,Shane Carruth,Shane Carruth
2010,Jake Gyllenhaal,Mike Newell,Boaz Yakin
1987,Lane Smith,Renny Harlin,Irwin Yablans
2013,Hugh Jackman,Denis Villeneuve,Aaron Guzikowski
2015,Amy Landecker,Dean Israelite,Jason Pagan
1987,Matthew Broderick,Jonathan Kaplan,Lawrence Lasker
2012,Thomas Mann,Nima Nourizadeh,Matt Drake
2011,Aimee Teegarden,Joe Nussbaum,Katie Wech
2012,Noomi Rapace,Ridley Scott,Jon Spaihts
2012,Matt Damon,Gus Van Sant,John Krasinski
1998,Vince Vaughn,Gus Van Sant,Robert Bloch
2009,Christian Bale,Michael Mann,Ronan Bennett
1994,John Travolta,Quentin Tarantino,Quentin Tarantino
1988,Cliff De Young,Paul Golding,Paul Golding
2006,Kristen Bell,Jim Sonzero,Wes Craven
2002,Adam Sandler,Paul Thomas Anderson,Paul Thomas Anderson
2008,Ray Stevenson,Lexi Alexander,Nick Santora
2008,Daniel Craig,Marc Forster,Paul Haggis
2008,Jennifer Carpenter,John Erick Dowdle,John Erick Dowdle
2012,Maggie Smith,Dustin Hoffman,Ronald Harwood
2002,Aaliyah,Michael Rymer,Anne Rice
2000,Geoffrey Rush,Philip Kaufman,Doug Wright
2013,Ryan Reynolds,Robert Schwentke,Phil Hay
2010,Nicole Kidman,John Cameron Mitchell,David Lindsay-Abaire
2009,Dwayne Johnson,Andy Fickman,Matt Lopez
2005,Frankie Muniz,Frederik Du Chau,David Schmidt
2003,Cuba Gooding Jr.,Michael Tollin,Mike Rich
1992,Lorraine Bracco,Richard Donner,David Mickey Evans
1988,Dustin Hoffman,Barry Levinson,Barry Morrow
2004,Hilary Duff,Sean McNamara,Mitch Rotter
2004,Kate Hudson,Garry Marshall,Patrick J. Clifton
1988,Sylvester Stallone,Peter MacDonald,David Morrell
1999,Harrison Ford,Sydney Pollack,Warren Adler
2011,Johnny Depp,Gore Verbinski,John Logan
1996,Mel Gibson,Ron Howard,Cyril Hume
1994,Jason Scott Lee,Kevin Reynolds,Kevin Reynolds
2001,Breckin Meyer,Jerry Zucker,Andy Breckman
2007,Brad Garrett,Brad Bird,Brad Bird
2004,Jamie Foxx,Taylor Hackford,Taylor Hackford
2000,David Arquette,Brian Robbins,Steven Brill
2011,Hugh Jackman,Shawn Levy,John Gatins
2001,Andrew Lawrence,Chuck Sheetz,Paul Germain
2010,Bruce Willis,Robert Schwentke,Jon Hoeber
2012,Chris Hemsworth,Dan Bradley,Carl Ellsworth
2005,Rachel McAdams,Wes Craven,Carl Ellsworth
2000,Val Kilmer,Antony Hoffman,Chuck Pfarrer
2011,Amanda Seyfried,Catherine Hardwicke,David Leslie Johnson
2011,Michael Parks,Kevin Smith,Kevin Smith
2012,Cuba Gooding Jr.,Anthony Hemingway,John Ridley
2002,Matthew McConaughey,Rob Bowman,Gregg Chabot
2007,Adam Sandler,Mike Binder,Mike Binder
2000,Ben Affleck,John Frankenheimer,Ehren Kruger
2000,Denzel Washington,Boaz Yakin,Gregory Allen Howard
1994,Danny DeVito,Penny Marshall,Jim Burnstein
2007,Reese Witherspoon,Gavin Hood,Kelley Sane
2007,Thomas Lennon,Robert Ben Garant,Robert Ben Garant
2005,Taye Diggs,Chris Columbus,Stephen Chbosky
2010,Jude Law,Miguel Sapochnik,Eric Garcia
2000,Ellen Burstyn,Darren Aronofsky,Hubert Selby Jr.
2006,Christian Bale,Werner Herzog,Werner Herzog
1992,Harvey Keitel,Quentin Tarantino,Quentin Tarantino
2002,Milla Jovovich,Paul W.S. Anderson,Paul W.S. Anderson
2010,Milla Jovovich,Paul W.S. Anderson,Paul W.S. Anderson
2004,Milla Jovovich,Alexander Witt,Paul W.S. Anderson
2007,Milla Jovovich,Russell Mulcahy,Paul W.S. Anderson
2012,Milla Jovovich,Paul W.S. Anderson,Paul W.S. Anderson
2000,David Duchovny,Bonnie Hunt,Bonnie Hunt
1991,Brian Krause,William A. Graham,Henry De Vere Stacpoole
2008,Leonardo DiCaprio,Sam Mendes,Justin Haythe
2013,Vin Diesel,David Twohy,David Twohy
2014,Ice Cube,Tim Story,Greg Coolidge
1999,Tobey Maguire,Ang Lee,Daniel Woodrell
2001,Drew Barrymore,Penny Marshall,Beverly D'Onofrio
2008,Robert De Niro,Jon Avnet,Russell Gewirtz
2011,Jesse Eisenberg,Carlos Saldanha,Carlos Saldanha
2014,Jesse Eisenberg,Carlos Saldanha,Don Rhymer
2012,Hugh Jackman,Peter Ramsey,David Lindsay-Abaire
2011,James Franco,Rupert Wyatt,Rick Jaffa
2016,Joseph Fiennes,Kevin Reynolds,Kevin Reynolds
1989,Patrick Swayze,Rowdy Herrington,R. Lance Hill
2002,Tom Hanks,Sam Mendes,Max Allan Collins
2000,Breckin Meyer,Todd Phillips,Todd Phillips
1995,Liam Neeson,Michael Caton-Jones,Alan Sharp
2010,Russell Crowe,Ridley Scott,Brian Helgeland
1991,Kevin Costner,Kevin Reynolds,Pen Densham
1987,Peter Weller,Paul Verhoeven,Edward Neumeier
2014,Joel Kinnaman,José Padilha,Joshua Zetumer
1993,Nancy Allen,Fred Dekker,Edward Neumeier
2012,Peter Sarsgaard,Jake Schreier,Christopher Ford
2005,Ewan McGregor,Chris Wedge,Ron Mita
2012,Julianne Hough,Adam Shankman,Justin Theroux
2001,Mark Wahlberg,Stephen Herek,John Stockwell
2008,Gerard Butler,Guy Ritchie,Guy Ritchie
2006,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone
1996,Leonardo DiCaprio,Baz Luhrmann,William Shakespeare
1993,Gary Oldman,Peter Medak,Hilary Henkin
2000,Jet Li,Andrzej Bartkowiak,Mitchell Kapner
1998,Robert De Niro,John Frankenheimer,J.D. Zeik
1998,Matt Damon,John Dahl,David Levien
2010,Stephen Spinella,Quentin Dupieux,Quentin Dupieux
1993,Ashley Judd,Victor Nunez,Jane Austen
1995,Jackie Chan,Stanley Tong,Edward Tang
2015,Liam Neeson,Jaume Collet-Serra,Brad Ingelsby
1999,Julia Roberts,Garry Marshall,Josann McGibbon
2013,Ben Affleck,Brad Furman,Brian Koppelman
2006,Paul Walker,Wayne Kramer,Wayne Kramer
2006,Joseph Cross,Ryan Murphy,Ryan Murphy
1991,Jason Patric,Lili Fini Zanuck,Kim Wozencraft
2013,Daniel Brühl,Ron Howard,Peter Morgan
2001,Jackie Chan,Brett Ratner,Ross LaManna
2007,Jackie Chan,Brett Ratner,Jeff Nathanson
1998,Jason Schwartzman,Wes Anderson,Wes Anderson
2003,Samuel L. Jackson,Clark Johnson,Robert Hamner
2014,Arnold Schwarzenegger,David Ayer,Skip Woods
1995,Julianne Moore,Todd Haynes,Todd Haynes
2012,Jason Statham,Boaz Yakin,Boaz Yakin
2013,Julianne Hough,Lasse Hallström,Dana Stevens
2012,Aubrey Plaza,Colin Trevorrow,Derek Connolly
2005,Matthew McConaughey,Breck Eisner,Clive Cussler
2010,Angelina Jolie,Phillip Noyce,Kurt Wimmer
2015,Dwayne Johnson,Brad Peyton,Carlton Cuse
2011,Rhys Wakefield,Alister Grierson,John Garvin
2016,Seth Rogen,Greg Tiernan,Kyle Hunter
2012,Aaron Taylor-Johnson,Oliver Stone,Shane Salerno
2001,Julia Stiles,Thomas Carter,Duane Adler
2013,Emma Thompson,John Lee Hancock,Kelly Marcel
1998,Tom Hanks,Steven Spielberg,Robert Rodat
2001,Jason Biggs,Dennis Dugan,Hank Nelken
2004,Cary Elwes,James Wan,Leigh Whannell
2005,Donnie Wahlberg,Darren Lynn Bousman,Leigh Whannell
2006,Tobin Bell,Darren Lynn Bousman,Leigh Whannell
2007,Tobin Bell,Darren Lynn Bousman,Patrick Melton
2008,Scott Patterson,David Hackl,Patrick Melton
2001,Anna Faris,Keenen Ivory Wayans,Shawn Wayans
2003,Anna Faris,David Zucker,Craig Mazin
2006,Anna Faris,David Zucker,Craig Mazin
2013,Simon Rex,Malcolm D. Lee,David Zucker
1993,Liam Neeson,Steven Spielberg,Thomas Keneally
2006,Billy Bob Thornton,Todd Phillips,Todd Phillips
2003,Jack Black,Richard Linklater,Mike White
2002,Matthew Lillard,Raja Gosnell,James Gunn
2006,Scarlett Johansson,Woody Allen,Woody Allen
2010,Michael Cera,Edgar Wright,Michael Bacall
1996,Neve Campbell,Wes Craven,Kevin Williamson
1997,Neve Campbell,Wes Craven,Kevin Williamson
2000,David Arquette,Wes Craven,Kevin Williamson
2011,Neve Campbell,Wes Craven,Kevin Williamson
1995,Morgan Freeman,David Fincher,Andrew Kevin Walker
